doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,"4,390.685","2,727.521","3,949.387","2,248.103","3,051.547","1,853.005","4,196.079","3,199.951","1,990.263","3,791.995","2,753.228","3,497.378","3,706.48","3,442.751","2,905.529","3,891.152","2,032.549","2,923.243","3,319.126","4,372.011","3,611.284","2,529.302","3,100.434","4,144.281"
32,"4,255.253","3,695.107","3,349.278","3,041.024","2,817.049","1,848.95","4,206.926","3,460.331","2,417.279","3,608.764","2,590.01","2,598.12","3,320.781","3,041.922","2,422.328","3,376.984","2,341.764","2,576.419","3,142.856","4,359.389","3,719.559","3,745.632","2,643.953","4,044.594"
60,"3,799.469","3,677.085","3,020.52",,"3,121.156","3,368.711","3,819.172",,"2,209.882","3,904.528","2,827.082",,"2,978.36","3,354.276","2,082.379",,"2,829.893","3,406.963","2,887.562",,"3,646.347","3,789.008","2,970.914",
61,,,,"3,480.059",,,,"3,401.542",,,,"2,999.537",,,,"3,151.265",,,,"4,413.075",,,,"3,668.017"
91,"4,164.488","3,202.15","3,325.457",,"3,569.107","4,151.075","3,741.065",,"2,738.576","3,520.813","3,005.245",,"3,903.497","3,451.943","3,192.172",,"2,838.587","3,817.177","2,668.525",,"3,748.587","3,267.682","3,874.229",
92,,,,"3,728.381",,,,"3,979.27",,,,"3,461.365",,,,"3,318.029",,,,"4,314.952",,,,"3,739.242"
121,"3,395.11","4,078.54","4,084.909",,"3,438.21","3,950.823","3,328.689",,"3,067.174","3,519.881","2,599.353",,"3,704.24","2,374.003","3,613.343",,"2,941.034","3,954.43","2,937.15",,"3,779.379","3,263.996","3,939.359",
122,,,,"3,815.087",,,,"3,099.075",,,,"4,283.22",,,,"3,631.874",,,,"4,088.717",,,,"4,254.277"
152,"2,557.963","3,478.738","3,782.132",,"3,194.649","3,028.338","2,985.45",,"2,618.314","2,891.094","2,310.884",,"2,771.13","2,479.232","3,394.63",,"2,334.43","3,493.074","3,074.824",,"3,362.333","2,675.658","3,094.241",
153,,,,"2,818.844",,,,"2,433.683",,,,"3,341.231",,,,"2,825.769",,,,"3,458.3",,,,"3,807.385"
182,"2,316.373","2,620.141","2,766.979",,"2,316.328","2,290.92","2,494.204",,"1,957.792","2,233.585","2,105.352",,"2,207.325","2,181.049","2,585.279",,"1,966.591","2,807.447","2,522.648",,"2,533.495","2,009.124","2,408.755",
183,,,,"2,173.014",,,,"2,000.644",,,,"2,644.062",,,,"2,129.72",,,,"2,860.012",,,,"3,429.014"
213,"2,288.493","2,092.538","2,386.362",,"2,239.842","2,122.411","2,241.913",,"1,705.468","1,991.914","2,110.308",,"2,040.163","2,154.711","2,162.148",,"1,879.208","2,376.134","2,209.304",,"2,294.513","2,034.243","2,035.274",
214,,,,"2,000.672",,,,"1,908.244",,,,"2,369.108",,,,"1,857.531",,,,"2,422.92",,,,
244,"2,009.061","1,893.583","2,158.677",,"1,995.851","2,006.875","2,045.626",,"1,662.553","2,010.923","2,093.679",,"2,038.507","2,297.384","1,891.283",,"1,901.193","2,199.258","2,180.887",,"2,293.43","2,143.659","2,560.538",
245,,,,"2,059.057",,,,"1,908.924",,,,"2,267.838",,,,"1,970.244",,,,"2,467.407",,,,
274,"1,772.243","1,733.024","2,088.161",,"1,825.74","1,778.449","1,887.494",,"1,525.378","2,029.715","1,978.851",,"1,958.916","2,399.571","1,839.303",,"2,170.627","2,085.832","2,206.911",,"2,157.807","1,909.506","2,321.287",
275,,,,"2,115.645",,,,"2,132.281",,,,"2,596.036",,,,"1,884.162",,,,"2,237.638",,,,
305,"2,536.116","2,559.431","1,936.725",,"1,959.605","2,037.323","1,775.922",,"2,069.893","1,946.904","2,799.111",,"1,956.993","2,186.688","3,077.031",,"2,398.037","2,075.558","2,700.087",,"2,044.803","1,937.753","3,150.381",
306,,,,"2,334.876",,,,"2,743.901",,,,"2,998.078",,,,"2,048.425",,,,"2,789.184",,,,
335,"2,315.024","2,915.395","1,969.066",,"1,762.926","3,871.047","2,639.149",,"2,607.867","2,559.784","3,770.197",,"2,826.363","2,605.819","4,266.459",,"2,552.916","2,974.644","3,923.919",,"2,033.215","2,347.348","4,257.6",
336,,,,"2,646.629",,,,"2,377.953",,,,"2,983.315",,,,"2,287.375",,,,"3,303.728",,,,
