year,month,EVI
2001,1,4390.6900000000005
2001,2,4255.25
2001,3,3799.4700000000003
2001,4,4164.49
2001,5,3395.11
2001,6,2557.96
2001,7,2316.3700000000003
2001,8,2288.4900000000002
2001,9,2009.06
2001,10,1772.24
2001,11,2536.12
2001,12,2315.02
2002,1,2727.52
2002,2,3695.11
2002,3,3677.09
2002,4,3202.15
2002,5,4078.54
2002,6,3478.74
2002,7,2620.14
2002,8,2092.54
2002,9,1893.58
2002,10,1733.02
2002,11,2559.4300000000003
2002,12,2915.4
2003,1,3949.3900000000003
2003,2,3349.2799999999997
2003,3,3020.52
2003,4,3325.46
2003,5,4084.9100000000003
2003,6,3782.13
2003,7,2766.98
2003,8,2386.36
2003,9,2158.68
2003,10,2088.16
2003,11,1936.73
2003,12,1969.07
2004,1,2248.1
2004,2,3041.02
2004,3,3480.06
2004,4,3728.38
2004,5,3815.09
2004,6,2818.84
2004,7,2173.01
2004,8,2000.6699999999998
2004,9,2059.06
2004,10,2115.65
2004,11,2334.88
2004,12,2646.63
2005,1,3051.55
2005,2,2817.05
2005,3,3121.16
2005,4,3569.11
2005,5,3438.21
2005,6,3194.65
2005,7,2316.3300000000004
2005,8,2239.84
2005,9,1995.85
2005,10,1825.74
2005,11,1959.61
2005,12,1762.93
2006,1,1853.01
2006,2,1848.95
2006,3,3368.71
2006,4,4151.08
2006,5,3950.82
2006,6,3028.34
2006,7,2290.92
2006,8,2122.4100000000003
2006,9,2006.8799999999999
2006,10,1778.45
2006,11,2037.32
2006,12,3871.05
2007,1,4196.08
2007,2,4206.929999999999
2007,3,3819.17
2007,4,3741.07
2007,5,3328.69
2007,6,2985.4500000000003
2007,7,2494.2
2007,8,2241.9100000000003
2007,9,2045.6299999999999
2007,10,1887.49
2007,11,1775.92
2007,12,2639.15
2008,1,3199.9500000000003
2008,2,3460.3300000000004
2008,3,3401.54
2008,4,3979.27
2008,5,3099.08
2008,6,2433.68
2008,7,2000.6399999999999
2008,8,1908.24
2008,9,1908.92
2008,10,2132.2799999999997
2008,11,2743.9
2008,12,2377.9500000000003
2009,1,1990.26
2009,2,2417.2799999999997
2009,3,2209.88
2009,4,2738.58
2009,5,3067.17
2009,6,2618.3100000000004
2009,7,1957.79
2009,8,1705.47
2009,9,1662.55
2009,10,1525.3799999999999
2009,11,2069.8900000000003
2009,12,2607.8700000000003
2010,1,3792
2010,2,3608.7599999999998
2010,3,3904.53
2010,4,3520.8100000000004
2010,5,3519.88
2010,6,2891.09
2010,7,2233.59
2010,8,1991.91
2010,9,2010.92
2010,10,2029.72
2010,11,1946.9
2010,12,2559.7799999999997
2011,1,2753.23
2011,2,2590.01
2011,3,2827.08
2011,4,3005.25
2011,5,2599.3500000000004
2011,6,2310.88
2011,7,2105.3500000000004
2011,8,2110.3100000000004
2011,9,2093.68
2011,10,1978.85
2011,11,2799.11
2011,12,3770.2
2012,1,3497.38
2012,2,2598.12
2012,3,2999.54
2012,4,3461.3700000000003
2012,5,4283.22
2012,6,3341.23
2012,7,2644.06
2012,8,2369.11
2012,9,2267.84
2012,10,2596.04
2012,11,2998.08
2012,12,2983.32
2013,1,3706.48
2013,2,3320.7799999999997
2013,3,2978.36
2013,4,3903.5
2013,5,3704.24
2013,6,2771.13
2013,7,2207.3300000000004
2013,8,2040.1599999999999
2013,9,2038.51
2013,10,1958.92
2013,11,1956.99
2013,12,2826.36
2014,1,3442.75
2014,2,3041.92
2014,3,3354.2799999999997
2014,4,3451.94
2014,5,2374
2014,6,2479.23
2014,7,2181.05
2014,8,2154.71
2014,9,2297.38
2014,10,2399.57
2014,11,2186.69
2014,12,2605.82
2015,1,2905.53
2015,2,2422.3300000000004
2015,3,2082.38
2015,4,3192.17
2015,5,3613.34
2015,6,3394.63
2015,7,2585.2799999999997
2015,8,2162.15
2015,9,1891.28
2015,10,1839.3
2015,11,3077.03
2015,12,4266.46
2016,1,3891.15
2016,2,3376.98
2016,3,3151.27
2016,4,3318.03
2016,5,3631.8700000000003
2016,6,2825.77
2016,7,2129.72
2016,8,1857.53
2016,9,1970.24
2016,10,1884.1599999999999
2016,11,2048.4300000000003
2016,12,2287.38
2017,1,2032.55
2017,2,2341.7599999999998
2017,3,2829.8900000000003
2017,4,2838.59
2017,5,2941.03
2017,6,2334.4300000000003
2017,7,1966.59
2017,8,1879.21
2017,9,1901.1899999999998
2017,10,2170.63
2017,11,2398.04
2017,12,2552.92
2018,1,2923.24
2018,2,2576.42
2018,3,3406.96
2018,4,3817.18
2018,5,3954.4300000000003
2018,6,3493.07
2018,7,2807.4500000000003
2018,8,2376.13
2018,9,2199.2599999999998
2018,10,2085.8300000000004
2018,11,2075.56
2018,12,2974.64
2019,1,3319.13
2019,2,3142.86
2019,3,2887.56
2019,4,2668.53
2019,5,2937.15
2019,6,3074.82
2019,7,2522.65
2019,8,2209.3
2019,9,2180.8900000000003
2019,10,2206.9100000000003
2019,11,2700.09
2019,12,3923.92
2020,1,4372.01
2020,2,4359.39
2020,3,4413.08
2020,4,4314.95
2020,5,4088.72
2020,6,3458.3
2020,7,2860.01
2020,8,2422.92
2020,9,2467.4100000000003
2020,10,2237.64
2020,11,2789.18
2020,12,3303.73
2021,1,3611.2799999999997
2021,2,3719.56
2021,3,3646.3500000000004
2021,4,3748.59
2021,5,3779.38
2021,6,3362.3300000000004
2021,7,2533.5
2021,8,2294.51
2021,9,2293.4300000000003
2021,10,2157.8100000000004
2021,11,2044.8
2021,12,2033.22
2022,1,2529.3
2022,2,3745.63
2022,3,3789.01
2022,4,3267.68
2022,5,3264
2022,6,2675.66
2022,7,2009.12
2022,8,2034.24
2022,9,2143.66
2022,10,1909.51
2022,11,1937.75
2022,12,2347.3500000000004
2023,1,3100.4300000000003
2023,2,2643.9500000000003
2023,3,2970.9100000000003
2023,4,3874.23
2023,5,3939.36
2023,6,3094.24
2023,7,2408.7599999999998
2023,8,2035.27
2023,9,2560.54
2023,10,2321.29
2023,11,3150.38
2023,12,4257.6
2024,1,4144.28
2024,2,4044.59
2024,3,3668.02
2024,4,3739.24
2024,5,4254.28
2024,6,3807.3900000000003
2024,7,3429.01
2024,8,NA
2024,9,NA
2024,10,NA
2024,11,NA
2024,12,NA
